task,hash,cost,points,n_nodes,status,ops,dsl_rule
1,007bbfb7,468,18.851531704082355,10,OURS,Cast:2;Sub:2;Concat:2;Slice:1;GlobalMaxPool:1;Reshape:1;Einsum:1,"x1 = hupscale(I, THREE) | x2 = vupscale(x1, THREE) | x3 = hconcat(I, I) | x4 = hconcat(x3, I) | x5 = vconcat(x4, x4) | x6 = vconcat(x5, x4) | O = cellwise(x2, x6, ZERO)"
2,00d62c1b,21089,15.043493143488236,157,baseline,BitwiseOr:52;BitwiseAnd:32;Gather:30;BitShift:30;Cast:3;Slice:2;And:2;MatMul:1;BitwiseXor:1;Greater:1;Xor:1;Concat:1;Pad:1,"x1 = objects(I, T, F, F) | x2 = colorfilter(x1, ZERO) | x3 = rbind(bordering, I) | x4 = compose(flip, x3) | x5 = mfilter(x2, x4) | O = fill(I, FOUR, x5)"
3,017c7c7b,302,19.28957298262513,18,OURS,Gather:4;Where:3;And:2;Concat:2;BitwiseXor:2;Slice:1;Cast:1;Equal:1;Split:1;Pad:1,"x1 = tophalf(I) | x2 = bottomhalf(I) | x3 = equality(x1, x2) | x4 = crop(I, TWO_BY_ZERO, THREE_BY_THREE) | x5 = branch(x3, x2, x4) | x6 = vconcat(I, x5) | O = replace(x6, ONE, TWO)"
4,025d127b,5394,16.406957496300326,19,baseline,Where:4;Gather:4;Cast:2;Conv:1;Less:1;Min:1;ReduceMax:1;Greater:1;Xor:1;Max:1;Pad:1;Equal:1,"x1 = objects(I, T, F, T) | x2 = apply(color, x1) | x3 = merge(x1) | x4 = lbind(colorfilter, x1) | x5 = rbind(argmax, rightmost) | x6 = compose(x5, x4) | x7 = mapply(x6, x2) | x8 = difference(x3, x7) | O = move(I, x8, RIGHT)"
5,045e512c,6882,16.163335413642574,181,baseline,Slice:101;Max:44;Concat:13;Mul:9;Cast:2;MaxPool:2;QLinearConv:2;Reshape:2;Conv:1;Greater:1;Min:1;Split:1;Pad:1;Equal:1,"x1 = objects(I, T, T, T) | x2 = argmax(x1, size) | x3 = remove(x2, x1) | x4 = lbind(shift, x2) | x5 = lbind(mapply, x4) | x6 = double(TEN) | x7 = interval(FOUR, x6, FOUR) | x8 = rbind(apply, x7) | x9 = lbind(position, x2) | x10 = lbind(rbind, multiply) | x11 = chain(x8, x10, x9) | x12 = compose(x5, "
6,0520fde7,153,19.969562078607566,7,OURS,Slice:2;Cast:2;And:1;Where:1;Pad:1,"x1 = vmirror(I) | x2 = lefthalf(x1) | x3 = righthalf(x1) | x4 = vmirror(x3) | x5 = cellwise(x2, x4, ZERO) | O = replace(x5, ONE, TWO)"
7,05269061,127,20.15581291354141,1,baseline,Einsum:1,"x1 = objects(I, T, T, T) | x2 = neighbors(ORIGIN) | x3 = mapply(neighbors, x2) | x4 = rbind(multiply, THREE) | x5 = apply(x4, x3) | x6 = merge(x1) | x7 = lbind(shift, x6) | x8 = mapply(x7, x5) | x9 = shift(x8, UP_RIGHT) | x10 = shift(x8, DOWN_LEFT) | x11 = paint(I, x8) | x12 = paint(x11, x9) | O = p"
8,05f2a901,5626,16.364846010950195,57,baseline,Cast:10;Where:10;Sub:6;Less:5;Slice:4;ReduceMax:4;ArgMax:4;Add:4;Max:2;ReduceSum:2;Squeeze:2;Gather:2;Pad:1;Equal:1,"x1 = objects(I, T, F, T) | x2 = colorfilter(x1, TWO) | x3 = first(x2) | x4 = colorfilter(x1, EIGHT) | x5 = first(x4) | x6 = gravitate(x3, x5) | O = move(I, x3, x6)"
9,06df4c85,8410,15.962823247033006,28,baseline,Cast:6;Slice:4;Where:4;Concat:3;Equal:2;Einsum:2;Conv:1;Max:1;Unsqueeze:1;Or:1;ArgMax:1;And:1;DepthToSpace:1,"x1 = partition(I) | x2 = mostcolor(I) | x3 = ofcolor(I, x2) | x4 = colorfilter(x1, ZERO) | x5 = argmax(x1, size) | x6 = difference(x1, x4) | x7 = remove(x5, x6) | x8 = merge(x7) | x9 = product(x8, x8) | x10 = power(first, TWO) | x11 = compose(first, last) | x12 = fork(equality, x10, x11) | x13 = sfi"
10,08ed6ac7,1070,18.024586072544047,19,baseline,Cast:3;Concat:3;ReduceSum:2;Unsqueeze:2;Split:2;Slice:1;Greater:1;Equal:1;Where:1;Gather:1;Pad:1;Less:1,"x1 = objects(I, T, F, T) | x2 = totuple(x1) | x3 = order(x1, height) | x4 = size(x2) | x5 = interval(x4, ZERO, NEG_ONE) | x6 = mpapply(recolor, x5, x3) | O = paint(I, x6)"
